,, CONTROL DIARIO DE BOTELLONES,,,,,,,
Fecha,Fecha Real,Medidor Dia Antes,Medidor Dia Actual,Galones Vendidos (Resta),Botellones (÷5),Total Botellones Acumulado,,Resumen Mensual 2025,Total de Botellones
jueves 01/05/2025,15/5/2025,169614,170760,1146,229,229,,Mayo,5889
viernes 02/05/2025,,170760,171775,1015,"203,0",203,,Junio,
sábado 03/05/2025,,171775,173103,1328,"265,6",266,,Julio,
domingo 04/05/2025,,173103,173103,0,0,0,,Agosto,
lunes 05/05/2025,,173103,173635,532,"106,4",106,,Septiembre,
martes 06/05/2025,,173635,175337,1702,"340,4",340,,Octubre,
miércoles 07/05/2025,,175337,175764,427,"85,4",85,,Noviembre,
jueves 08/05/2025,,175764,175764,0,0,0,,Diciembre,
viernes 09/05/2025,,175764,176888,1124,"224,8",225,,,
sábado 10/05/2025,,176888,178696,1808,"361,6",362,,,
domingo 11/05/2025,,178696,178696,0,0,0,,,
lunes 12/05/2025,,178696,180285,1589,"317,8",318,,,
martes 13/05/2025,,180285,181195,910,182,182,,,
miércoles 14/05/2025,,181195,182113,918,"183,6",184,,,
jueves 15/05/2025,,182113,183272,1159,"231,8",232,,,
viernes 16/05/2025,,183272,183846,574,"114,8",115,,,
sábado 17/05/2025,,183846,184891,1045,209,209,,,
domingo 18/05/2025,,184891,184891,0,0,0,,,
lunes 19/05/2025,,184891,186008,1117,"223,4",223,,,
martes 20/05/2025,,186008,187710,1702,"340,4",340,,,
miércoles 21/05/2025,,187710,188365,655,131,131,,,
jueves 22/05/2025,,188365,189199,834,"166,8",167,,,
viernes 23/05/2025,,189199,190033,834,"166,8",167,,,
sábado 24/05/2025,,190033,191817,1784,"356,8",357,,,
domingo 25/05/2025,,191817,191817,0,0,0,,,
lunes 26/05/2025,,191817,193310,1493,"298,6",299,,,
martes 27/05/2025,,193310,194801,1491,"298,2",298,,,
miércoles 28/05/2025,,194801,195700,899,"179,8",180,,,
jueves 29/05/2025,,195700,196375,675,135,135,,,
viernes 30/05/2025,,196375,197490,1115,223,223,,,
sábado 31/05/2025,,197490,199057,1567,"313,4",313,,,
